sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3389,33.09570313,-7.090127097,4.430566943,6.960058595,8.906262432,35.71303023,-18.21035909
3390,33.10546875,-7.237186824,3.670393771,6.891021136,5.962604873,32.98645391,-18.42002812
3391,33.11523438,-7.190134607,3.402126337,6.987139344,4.228691276,28.78810734,-16.16106415
3392,33.125,-7.199371031,3.184819134,7.008879978,3.401785287,23.92603797,-13.09779938
3393,33.13476563,-6.978768232,3.126845965,6.901970145,2.871982948,19.41060828,-8.30452773
3394,33.14453125,-6.993730999,3.052980789,6.908456215,2.877950068,17.12059707,-5.413105477
3395,33.15429688,-6.848538062,3.091603116,6.914711967,4.340375001,13.53385738,-3.629101221
3396,33.1640625,-6.801526859,3.303604692,6.949726044,5.861535089,10.88330752,-3.507126538
3397,33.17382813,-6.755810762,3.396148652,7.041859029,6.828624863,10.40819793,-3.071991581
3398,33.18359375,-6.691137512,3.428722156,6.956227328,7.851195263,10.90556143,-2.509813189
3399,33.19335938,-6.688395472,3.655700585,6.752664726,8.694476024,11.41405344,-2.99721995
3400,33.203125,-6.661561554,3.719849265,6.715765158,8.811376543,12.20685049,-2.993862569
3401,33.21289063,-6.625091079,3.793425152,6.66213811,8.564263255,13.73564081,-3.91514194
3402,33.22265625,-6.628454976,3.690728191,6.669328413,7.350778592,14.92353248,-3.423738152
3403,33.23242188,-6.674584741,3.557569491,6.587607418,6.98013497,16.48982101,-2.803311783
3404,33.2421875,-6.831706482,3.459400323,6.410627544,6.852826799,17.7605901,-2.491104926
3405,33.25195313,-6.840032233,3.562266249,6.342110131,7.155272074,17.01336017,-0.826562765
3406,33.26171875,-6.743467652,3.699534564,6.244545575,7.879224573,16.39281911,1.025650564
3407,33.27148438,-6.749738136,3.54669841,6.271808533,7.695695692,17.00112486,0.7800694
3408,33.28125,-6.743194933,3.479708874,6.25456315,7.091650499,17.36449069,0.099657367
3409,33.29101563,-6.862004298,3.433571059,6.135314002,6.124876572,17.46285094,0.52685153
3410,33.30078125,-6.831704831,3.347148977,6.052525164,6.063639371,17.13822051,1.944241252
3411,33.31054688,-6.916875221,3.369828472,6.018897108,7.32949877,17.14999788,2.752734554
3412,33.3203125,-6.751394587,3.343637821,6.184732899,8.23395788,16.90776779,3.86692994
3413,33.33007813,-6.699915453,3.342895801,6.43947951,9.490093975,18.86232224,4.928882573
3414,33.33984375,-6.660236316,3.631415106,6.788645603,10.31285051,23.43712899,5.072394298
3415,33.34960938,-6.452357154,4.166099694,7.252275593,8.899536503,28.63910835,5.329976227
3416,33.359375,-6.308255495,4.4030267,7.456556356,6.32898334,37.46201445,1.707835073
3417,33.36914063,-6.4220275,4.896811316,7.354948346,2.720234374,49.4518373,-3.574213991
3418,33.37890625,-6.559938009,5.383744705,7.36432368,-0.815767356,59.20603206,-9.850677732
3419,33.38867188,-6.446223084,5.702314359,7.665657847,-3.250456447,65.88059242,-16.31725776
